source,target,value
0,2,1
0,26,1
1,6,1
1,20,1
1,24,1
1,40,10
1,62,1
2,0,1
2,3,160
2,4,6
2,5,27
2,6,15
2,8,18
2,9,194
2,10,26
2,12,3
2,13,8
2,14,1
2,15,10
2,16,9
2,18,12
2,19,42
2,20,110
2,23,1
2,24,556
2,25,1
2,26,161
2,27,1
2,28,7
2,29,400
2,30,21
2,31,2
2,32,1
2,33,5
2,34,3
2,35,97
2,36,107
2,37,1
2,38,5
2,40,1
2,41,3
2,43,51
2,44,1
2,45,2
2,46,1
2,47,1
2,49,8
2,51,3
2,52,28
2,54,1
2,55,2
2,56,2
2,57,70
2,59,14
2,60,27
2,61,11
2,62,81
2,63,6
2,64,5
2,65,1
2,66,3
2,67,5
2,68,2
2,69,2
3,2,160
3,5,2
3,6,2
3,8,4
3,9,4
3,12,4
3,13,1
3,14,3
3,16,2
3,18,1
3,19,1
3,20,1
3,24,4
3,26,3
3,29,1
3,31,1
3,34,1
3,35,6
3,36,3
3,43,3
3,47,1
3,49,1
3,51,1
3,52,2
3,60,3
3,61,1
3,62,1
3,66,1
3,67,3
4,2,6
4,5,1
4,6,1
4,9,5
4,20,1
4,24,2
4,26,4
4,29,1
4,35,1
4,56,2
4,62,3
5,2,27
5,3,2
5,4,1
5,6,2
5,8,1
5,9,9
5,10,1
5,12,1
5,13,3
5,16,1
5,18,3
5,19,2
5,20,3
5,24,13
5,25,1
5,26,29
5,27,1
5,29,2
5,33,2
5,34,3
5,35,4
5,36,5
5,38,1
5,43,2
5,44,1
5,46,2
5,49,7
5,52,1
5,59,1
5,60,3
5,61,3
5,62,71
5,64,1
5,65,1
6,1,1
6,2,15
6,3,2
6,4,1
6,5,2
6,8,1
6,9,10
6,10,4
6,12,9
6,13,1
6,16,2
6,18,2
6,19,5
6,20,11
6,24,20
6,26,11
6,29,2
6,30,1
6,31,1
6,34,8
6,35,10
6,36,4
6,38,1
6,43,1
6,49,1
6,51,2
6,52,1
6,59,1
6,60,4
6,61,3
6,62,7
7,15,5
7,62,3
8,2,18
8,3,4
8,5,1
8,6,1
8,9,3
8,12,2
8,14,3
8,16,2
8,18,1
8,24,15
8,26,3
8,35,1
8,36,1
8,38,1
8,43,2
8,47,1
8,51,1
8,60,3
8,62,1
8,66,3
8,67,5
9,2,194
9,3,4
9,4,5
9,5,9
9,6,10
9,8,3
9,10,23
9,12,2
9,13,6
9,14,1
9,16,5
9,17,1
9,18,2
9,19,6
9,20,35
9,21,1
9,23,1
9,24,48
9,26,48
9,28,1
9,29,1
9,30,2
9,31,3
9,33,2
9,34,7
9,35,16
9,36,8
9,38,2
9,40,1
9,43,33
9,44,1
9,45,1
9,47,1
9,49,14
9,50,10
9,51,3
9,52,1
9,55,1
9,59,2
9,60,8
9,61,4
9,62,28
9,64,2
9,66,2
9,67,2
10,2,26
10,5,1
10,6,4
10,9,23
10,12,1
10,19,2
10,20,3
10,24,48
10,26,12
10,28,6
10,29,41
10,30,1
10,35,5
10,36,3
10,49,1
10,55,1
10,59,6
10,60,6
10,61,3
10,62,11
10,63,6
11,26,1
11,61,1
12,2,3
12,3,4
12,5,1
12,6,9
12,8,2
12,9,2
12,10,1
12,16,2
12,18,1
12,20,1
12,24,4
12,26,2
12,35,2
12,36,1
12,43,1
12,49,2
12,51,1
12,52,1
12,60,3
